 Aoki, N	SEA	LF	118	417	63	118	24	4	4	28	34	45	7	9	.283	.349	.388	.738
 Merrifield, W	KC	2B	81	311	44	88	22	3	2	29	19	72	8	3	.283	.323	.392	.716
 Anderson, T	CWS	SS	99	410	57	116	22	6	9	30	13	117	10	2	.283	.306	.432	.738
 Maxwell, B	OAK	C	33	92	8	26	6	1	1	14	8	24	0	0	.283	.337	.402	.739
 Reynolds, M	COL	1B	118	393	61	111	24	0	14	53	42	112	1	2	.282	.356	.450	.806
 Drury, B	ARI	LF	134	461	59	130	31	1	16	53	31	100	1	1	.282	.329	.458	.786
 Saladino, T	CWS	SS	93	298	33	84	14	0	8	38	13	62	11	5	.282	.315	.409	.725
 Contreras, W	CHC	C	76	252	33	71	14	1	12	35	26	67	2	2	.282	.357	.488	.845
 Polanco, J	MIN	SS	69	245	24	69	15	4	4	27	17	46	4	3	.282	.332	.424	.757
 Walker, N	NYM	2B	113	412	57	116	9	1	23	55	42	84	3	1	.282	.347	.476	.823
 Reddick, J	LAD	RF	115	398	53	112	17	1	10	37	39	56	8	3	.281	.345	.405	.749
 Simmons, A	LAA	SS	124	448	48	126	22	2	4	44	28	38	10	1	.281	.324	.366	.690
 Cabrera, A	NYM	SS	141	521	65	146	30	1	23	62	38	103	5	1	.280	.336	.474	.810
 Grossman, R	MIN	LF	99	332	49	93	19	1	11	37	55	96	2	3	.280	.386	.443	.828
 Cespedes, Y	NYM	CF	132	479	72	134	25	1	31	86	51	108	3	1	.280	.354	.530	.884
 Dietrich, D	MIA	2B	128	351	39	98	20	5	7	42	32	84	1	0	.279	.374	.425	.798
 Brentz, B	BOS	LF	25	61	8	17	3	0	1	7	3	17	0	0	.279	.313	.377	.690
 Seager, K	SEA	3B	158	597	89	166	36	3	30	99	69	108	3	1	.278	.359	.499	.859
 Recker, A	ATL	C	33	90	6	25	8	0	2	15	16	22	1	0	.278	.394	.433	.828
 Cron, C	LAA	1B	116	407	51	113	25	2	16	69	24	75	2	3	.278	.325	.467	.792
 Dyson, J	KC	CF	107	299	46	83	14	8	1	25	26	39	30	7	.278	.340	.388	.728
 Gosselin, P	ARI	2B	122	220	26	61	12	1	2	13	15	46	3	0	.277	.324	.368	.692
 Owings, C	ARI	SS	119	437	52	121	24	11	5	49	20	87	21	2	.277	.315	.416	.731
 Almora, A	CHC	CF	47	112	14	31	9	1	3	14	5	20	0	0	.277	.308	.455	.763
 Pagan, A	SF	LF	129	495	71	137	24	5	12	55	42	66	15	4	.277	.331	.418	.750
 Fowler, D	CHC	CF	125	456	84	126	25	7	13	48	79	124	13	4	.276	.393	.447	.840
 Difo, W	WSH	SS	31	58	14	16	3	0	1	7	8	12	3	0	.276	.364	.379	.743
 Young, C	BOS	LF	76	203	29	56	18	0	9	24	21	50	4	2	.276	.352	.498	.850
 Gregorius, D	NYY	SS	153	562	68	155	32	2	20	70	19	82	7	1	.276	.304	.447	.751
 Garcia, G	STL	3B	99	214	33	59	11	0	3	17	38	50	1	1	.276	.393	.369	.762
 Kipnis, J	CLE	2B	156	610	91	168	41	4	23	82	60	146	15	3	.275	.343	.469	.811
 Turner, J	LAD	3B	151	556	79	153	34	3	27	90	48	107	4	1	.275	.339	.493	.832
 Nicholas, B	TEX	C	15	40	5	11	5	0	2	4	4	9	0	0	.275	.356	.550	.906
 Belt, B	SF	1B	156	542	77	149	41	8	17	82	104	148	0	4	.275	.394	.474	.868
 Crawford, B	SF	SS	155	553	67	152	28	11	12	84	57	115	7	0	.275	.342	.430	.772
 Nimmo, B	NYM	CF	32	73	12	20	1	0	1	6	6	20	0	0	.274	.338	.329	.666
 Correa, C	HOU	SS	153	577	76	158	36	3	20	96	75	139	13	3	.274	.361	.451	.811
 Cuthbert, C	KC	3B	128	475	49	130	28	1	12	46	32	96	2	0	.274	.318	.413	.731
 Bell, J	PIT	1B	45	128	18	35	8	0	3	19	21	19	0	1	.273	.368	.406	.775
 Longoria, E	TB	3B	160	633	81	173	41	4	36	98	42	144	0	3	.273	.318	.521	.840
 Piscotty, S	STL	RF	153	582	86	159	35	3	22	85	51	133	7	5	.273	.343	.457	.800
 Baez, J	CHC	3B	142	421	50	115	19	1	14	59	15	108	12	3	.273	.314	.423	.737
 Murphy, T	COL	C	21	44	8	12	2	0	5	13	4	19	1	0	.273	.347	.659	1.006
 Garcia, A	ATL	3B	134	532	65	145	29	0	14	65	24	93	3	2	.273	.311	.406	.717
 Perez, H	MIL	3B	123	404	50	110	18	3	13	56	18	94	34	7	.272	.302	.428	.730
 Tomas, Y	ARI	LF	140	530	72	144	30	1	31	83	31	136	2	4	.272	.313	.508	.820
 Zobrist, B	CHC	2B	147	523	94	142	31	3	18	76	96	82	6	4	.272	.386	.446	.831
